"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
2322,0,7065,302,vimeo.com,,2884,58,250,582351,1113626,1255
1318,0,2315,184,weareo.tv,,475,61,293,387346,705694,342
936,0,1097,168,browngirlswebseries.com,,220,76,326,305471,497315,205
879,33,4486,135,unknown,,700,17,62,54864,431940,352
233,0,1019,29,thetwebseries.com,,80,76,309,72132,97203,57
90,0,1287,2,remezcla.com,,107,75,232,20891,52334,13
87,0,227,8,onemorelesbian.com,,68,66,365,31818,49453,59
48,0,91,4,yastatic.net,,41,52,293,14085,36289,31
42,0,489,4,justcallmeripley.com,,19,95,309,12994,15898,10
40,0,57,2,youresotalented.net,,7,75,267,10683,16651,7
26,0,34,3,bing.com,,15,49,208,5416,12275,12
25,0,68,1,lesbianmedia.tv,,16,79,667,16692,21030,13
24,0,321,2,kingisafink.com,,41,68,182,4373,6614,9
19,0,248,0,indiewire.com,,123,39,116,2214,6327,15
18,0,26,0,smilefart.com,,9,48,11,207,2481,9
11,0,16,1,chicagofilmmakers.org,,6,29,89,989,4312,6
11,0,197,0,spectrumsouth.com,,30,54,218,2408,5422,5
11,0,29,0,thehavenweb.com,,4,54,377,4157,8251,3
11,0,13,1,facebook.com,,11,60,77,855,1562,10
10,0,372,3,instinctmagazine.com,,50,85,26,269,915,1
10,0,19,0,yahoo.com,,8,17,16,162,4094,6
9,0,69,1,alexagrae.com,,15,48,204,1836,4191,5
9,0,600,1,avclub.com,,193,66,31,285,1278,3
8,0,14,0,review.slideroom.com,,2,76,377,3019,3972,2
8,0,8,0,derrickwoodsmorrow.com,,6,23,217,1737,7384,6
8,0,94,0,bookbeccabrown.com,,35,54,199,1599,2928,5
8,0,199,0,artiishak.wixsite.com,,6,58,443,3544,6032,4
8,0,16,0,otvstudio.com,,7,38,1,8,54,5
7,0,40,1,blacktvfilmcollective.org,,7,71,338,2368,3290,3
7,0,104,0,www-indiewire-com.cdn.ampproject.org,,35,40,134,938,2331,3
7,0,144,2,latina.com,,36,69,141,987,1421,5
6,0,7,0,headmastermagazine.com,,7,62,577,3464,5538,6
6,0,226,0,teens.ms,,65,61,138,829,3723,5
6,0,16,0,flatworm-deer-8jmw.squarespace.com,,5,20,72,435,2119,4
5,0,5,0,samqbailey.com,,4,35,37,187,641,4
5,0,41,0,sonideni.com,,18,39,55,279,710,4
5,0,14,3,ajchristian.org,,3,83,226,1132,1360,2
5,0,19,0,liztoonkel.com,,7,63,144,720,1420,5
