"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
15,0,105,5,vimeo.com,,0,49,330,4962,9977,0
4,0,6,3,yahoo.com,,0,78,1266,5066,6444,0
3,0,11,2,tvisual.org,,0,73,159,478,650,0
2,0,2,0,bing.com,,0,4,39,79,3371,0
1,0,59,0,unknown,,0,4,26,26,627,0
1,0,12,0,derekleemcphatter.com,,0,87,189,189,217,0
1,0,8,1,blackgirlrevolution.tumblr.com,,0,99,229,229,230,0
1,0,65,1,khadijahwhite.com,,0,98,85,85,86,0
0,0,2,0,blog.empowerment-group.org,,0,0,0,0,0,0
0,0,8,0,eulamusic.com,,0,0,0,0,0,0
0,0,2,0,search.daum.net,,0,0,0,0,0,0
0,0,2,0,culturebot.org,,0,0,0,0,0,0
0,0,1,0,ctindie.com,,0,0,0,0,0,0
0,0,1,0,gawker.com,,0,0,0,0,0,0
0,0,1,0,iblog126.com,,0,0,0,0,0,0
0,0,22,0,atomculture.wordpress.com,,0,0,0,0,0,0
0,0,9,0,arthurkade.com,,0,0,0,0,0,0
"
",,,,,,,,,,,
