"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
15,0,64,6,2015-05-01,2015-05-02,1,0,0,73,286,4291,6195,0
46,0,108,8,2015-05-02,2015-05-03,0,0,0,67,169,7812,15828,0
21,0,105,5,2015-05-03,2015-05-04,0,0,0,71,243,5112,7632,0
47,0,87,14,2015-05-04,2015-05-05,0,0,0,82,289,13617,17799,0
85,0,178,16,2015-05-05,2015-05-06,2,0,0,74,247,21023,29308,0
301,0,484,56,2015-05-06,2015-05-07,0,0,0,73,206,62039,91418,0
157,0,262,50,2015-05-07,2015-05-08,0,0,0,77,170,26840,35661,0
54,0,121,16,2015-05-08,2015-05-09,0,1,0,71,194,10492,15640,0
64,0,95,13,2015-05-09,2015-05-10,0,0,0,76,188,12061,20570,0
50,0,100,14,2015-05-10,2015-05-11,1,0,0,74,240,12046,18347,0
91,0,170,28,2015-05-11,2015-05-12,0,0,0,84,263,24017,29525,0
89,0,190,22,2015-05-12,2015-05-13,1,0,0,75,198,17657,28447,0
58,0,122,9,2015-05-13,2015-05-14,0,0,0,76,233,13528,18643,0
46,0,105,11,2015-05-14,2015-05-15,0,0,0,72,214,9870,13645,0
36,0,100,8,2015-05-15,2015-05-16,0,0,0,66,212,7654,11884,0
43,0,102,17,2015-05-16,2015-05-17,0,0,0,80,253,10921,13870,0
33,0,99,3,2015-05-17,2015-05-18,0,0,0,67,140,4634,10830,0
38,0,89,9,2015-05-18,2015-05-19,0,0,0,83,239,9083,12037,0
34,0,102,9,2015-05-19,2015-05-20,1,0,0,85,269,9155,10996,0
150,0,301,36,2015-05-20,2015-05-21,3,0,0,78,218,32781,43539,0
79,0,159,20,2015-05-21,2015-05-22,0,0,0,78,226,17900,23429,0
48,0,116,5,2015-05-22,2015-05-23,0,0,0,73,215,10344,14961,0
42,0,93,5,2015-05-23,2015-05-24,0,0,0,82,224,9439,13549,0
38,0,84,6,2015-05-24,2015-05-25,0,0,0,67,229,8718,13163,0
38,0,80,6,2015-05-25,2015-05-26,0,0,0,63,183,6990,12118,0
53,0,109,10,2015-05-26,2015-05-27,1,0,0,72,205,10882,16084,0
53,0,106,7,2015-05-27,2015-05-28,0,0,0,77,229,12189,16512,0
38,0,74,11,2015-05-28,2015-05-29,0,0,0,81,257,9772,12493,0
29,0,72,7,2015-05-29,2015-05-30,0,0,0,67,226,6568,9672,0
71,0,186,11,2015-05-30,2015-05-31,0,0,0,64,144,10285,22153,0
53,0,135,14,2015-05-31,2015-06-01,0,0,0,76,223,11849,17913,0
"
",,,,,,,,,,,,,
