"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
7,0,10,0,2014-09-01,2014-09-02,0,0,0,0,0,0,3845,0
0,0,26,0,2014-09-02,2014-09-03,0,0,0,0,0,0,0,0
0,0,5,0,2014-09-03,2014-09-04,0,0,0,0,0,0,0,0
0,0,8,0,2014-09-04,2014-09-05,0,0,0,0,0,0,0,0
2,0,11,1,2014-09-05,2014-09-06,0,0,0,95,383,767,807,0
4,0,6,0,2014-09-06,2014-09-07,0,0,0,0,0,0,8280,0
0,0,16,0,2014-09-07,2014-09-08,0,0,0,0,0,0,0,0
0,0,2,0,2014-09-08,2014-09-09,0,0,0,0,0,0,0,0
7,0,10,0,2014-09-09,2014-09-10,0,0,0,0,0,0,3538,0
1,0,4,0,2014-09-10,2014-09-11,0,0,0,4,27,27,627,0
0,0,8,0,2014-09-11,2014-09-12,0,0,0,0,0,0,0,0
0,0,3,0,2014-09-12,2014-09-13,0,0,0,0,0,0,0,0
0,0,5,0,2014-09-13,2014-09-14,0,0,0,0,0,0,0,0
0,0,3,0,2014-09-14,2014-09-15,0,0,0,0,0,0,0,0
7,0,152,2,2014-09-15,2014-09-16,0,0,0,79,371,2597,3349,0
3,0,46,1,2014-09-16,2014-09-17,0,0,0,100,28,86,553,0
0,0,26,0,2014-09-17,2014-09-18,0,0,0,0,0,0,0,0
4,0,59,1,2014-09-18,2014-09-19,0,0,0,37,63,255,673,0
0,0,7,0,2014-09-19,2014-09-20,0,0,0,0,0,0,0,0
1,0,8,1,2014-09-20,2014-09-21,0,0,0,99,229,229,230,0
0,0,1,0,2014-09-21,2014-09-22,0,0,0,0,0,0,0,0
0,0,3,0,2014-09-22,2014-09-23,0,0,0,0,0,0,0,0
0,0,4,0,2014-09-23,2014-09-24,0,0,0,0,0,0,0,0
0,0,18,0,2014-09-24,2014-09-25,0,0,0,0,0,0,0,0
0,0,1,0,2014-09-25,2014-09-26,0,0,0,0,0,0,0,0
1,0,14,0,2014-09-26,2014-09-27,0,0,0,20,7,7,34,0
1,0,4,0,2014-09-27,2014-09-28,0,0,0,37,13,13,35,0
0,0,2,0,2014-09-28,2014-09-29,0,0,0,0,0,0,0,0
0,0,5,0,2014-09-29,2014-09-30,0,0,0,0,0,0,0,0
2,0,18,0,2014-09-30,2014-10-01,0,0,0,36,405,810,2238,0
"
",,,,,,,,,,,,,
