"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
0,0,44,0,2012-10-01,2012-10-02,0,0,0,0,0,0,0,0
3,0,72,2,2012-10-02,2012-10-03,0,0,0,0,0,0,0,0
0,0,20,0,2012-10-03,2012-10-04,0,0,0,0,0,0,0,0
0,0,35,0,2012-10-04,2012-10-05,0,0,0,0,0,0,0,0
0,0,47,0,2012-10-05,2012-10-06,0,0,0,0,0,0,0,0
0,0,22,0,2012-10-06,2012-10-07,0,0,0,0,0,0,0,0
0,0,43,0,2012-10-07,2012-10-08,0,0,0,0,0,0,0,0
2,0,68,1,2012-10-08,2012-10-09,0,0,0,0,0,0,0,0
3,0,55,0,2012-10-09,2012-10-10,0,0,0,0,0,0,0,0
2,0,101,0,2012-10-10,2012-10-11,0,0,0,0,0,0,0,0
3,0,56,0,2012-10-11,2012-10-12,0,0,0,0,0,0,0,0
5,0,43,2,2012-10-12,2012-10-13,0,0,0,0,0,0,0,0
1,0,46,0,2012-10-13,2012-10-14,0,0,0,0,0,0,0,0
3,0,36,0,2012-10-14,2012-10-15,0,0,0,0,0,0,0,0
1,0,64,0,2012-10-15,2012-10-16,0,0,0,0,0,0,0,0
5,0,52,0,2012-10-16,2012-10-17,0,0,0,0,0,0,0,0
1,0,35,0,2012-10-17,2012-10-18,1,0,0,0,0,0,0,0
3,0,22,0,2012-10-18,2012-10-19,0,0,0,0,0,0,0,0
2,0,33,0,2012-10-19,2012-10-20,0,0,0,0,0,0,0,0
1,0,29,0,2012-10-20,2012-10-21,0,0,0,0,0,0,0,0
5,0,78,2,2012-10-21,2012-10-22,0,0,0,0,0,0,0,0
2,0,85,3,2012-10-22,2012-10-23,0,0,0,0,0,0,0,0
1,0,18,0,2012-10-23,2012-10-24,0,0,0,0,0,0,0,0
2,0,23,2,2012-10-24,2012-10-25,0,0,0,0,0,0,0,0
1,0,43,0,2012-10-25,2012-10-26,0,0,0,0,0,0,0,0
0,0,39,0,2012-10-26,2012-10-27,0,0,0,0,0,0,0,0
1,0,50,0,2012-10-27,2012-10-28,0,0,0,0,0,0,0,0
0,0,27,0,2012-10-28,2012-10-29,0,0,0,0,0,0,0,0
1,0,37,0,2012-10-29,2012-10-30,0,0,0,0,0,0,0,0
1,0,78,0,2012-10-30,2012-10-31,0,0,0,0,0,0,0,0
1,0,15,0,2012-10-31,2012-11-01,0,0,0,0,0,0,0,0
"
",,,,,,,,,,,,,
