"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
1,0,58,0,2013-04-01,2013-04-02,0,0,0,0,0,0,0,0
2,0,75,0,2013-04-02,2013-04-03,0,0,0,0,0,0,0,0
2,2,64,0,2013-04-03,2013-04-04,0,0,0,0,0,0,0,0
1,0,61,0,2013-04-04,2013-04-05,0,0,0,0,0,0,0,0
0,0,42,0,2013-04-05,2013-04-06,0,0,0,0,0,0,0,0
1,0,21,1,2013-04-06,2013-04-07,0,0,0,0,0,0,0,0
1,0,58,0,2013-04-07,2013-04-08,0,0,0,0,0,0,0,0
0,0,43,0,2013-04-08,2013-04-09,0,0,0,0,0,0,0,0
1,0,36,1,2013-04-09,2013-04-10,0,0,0,0,0,0,0,0
0,0,32,0,2013-04-10,2013-04-11,0,0,0,0,0,0,0,0
0,0,45,0,2013-04-11,2013-04-12,0,0,0,0,0,0,0,0
0,0,44,0,2013-04-12,2013-04-13,0,0,0,0,0,0,0,0
0,0,24,0,2013-04-13,2013-04-14,0,0,0,0,0,0,0,0
0,0,32,0,2013-04-14,2013-04-15,0,0,0,0,0,0,0,0
1,0,42,1,2013-04-15,2013-04-16,0,0,0,0,0,0,0,0
0,0,50,0,2013-04-16,2013-04-17,0,0,0,0,0,0,0,0
0,0,40,0,2013-04-17,2013-04-18,0,0,0,0,0,0,0,0
0,0,35,0,2013-04-18,2013-04-19,0,0,0,0,0,0,0,0
0,0,28,0,2013-04-19,2013-04-20,0,0,0,0,0,0,0,0
2,0,40,0,2013-04-20,2013-04-21,0,0,0,0,0,0,0,0
1,0,29,1,2013-04-21,2013-04-22,0,0,0,0,0,0,0,0
1,0,24,1,2013-04-22,2013-04-23,0,0,0,0,0,0,0,0
2,3,67,0,2013-04-23,2013-04-24,0,0,0,0,0,0,0,0
14,0,118,1,2013-04-24,2013-04-25,0,0,0,0,0,0,0,0
0,0,46,0,2013-04-25,2013-04-26,0,0,0,0,0,0,0,0
1,0,54,0,2013-04-26,2013-04-27,0,0,0,0,0,0,0,0
0,0,53,0,2013-04-27,2013-04-28,0,0,0,0,0,0,0,0
2,0,27,1,2013-04-28,2013-04-29,0,0,0,0,0,0,0,0
1,0,95,0,2013-04-29,2013-04-30,0,0,0,0,0,0,0,0
2,0,67,1,2013-04-30,2013-05-01,0,0,0,0,0,0,0,0
"
",,,,,,,,,,,,,
