"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
385,0,1189,91,2018-10-01,2018-10-02,1,0,0,72,305,117640,202366,0
380,0,1209,59,2018-10-02,2018-10-03,0,0,0,63,250,95256,207972,0
397,0,1449,63,2018-10-03,2018-10-04,1,0,0,68,303,120555,213607,0
326,0,1318,64,2018-10-04,2018-10-05,0,0,0,67,301,98319,172143,0
287,0,972,74,2018-10-05,2018-10-06,0,0,0,76,374,107413,163552,0
391,0,1113,71,2018-10-06,2018-10-07,1,0,0,65,286,112193,226334,0
343,0,979,67,2018-10-07,2018-10-08,0,0,0,70,308,105751,180746,0
379,0,1047,66,2018-10-08,2018-10-09,5,0,0,72,315,119443,190609,0
430,0,1296,67,2018-10-09,2018-10-10,0,0,0,73,322,138748,240751,0
331,0,1079,58,2018-10-10,2018-10-11,5,0,0,62,238,78821,159756,0
406,0,1169,64,2018-10-11,2018-10-12,0,0,0,55,210,85546,225310,0
380,0,1332,50,2018-10-12,2018-10-13,0,0,0,59,245,93397,204887,0
441,1,1671,95,2018-10-13,2018-10-14,0,0,0,70,309,136625,237473,0
513,0,1646,72,2018-10-14,2018-10-15,0,0,0,62,255,130950,264945,0
454,0,1221,73,2018-10-15,2018-10-16,0,0,0,57,280,127457,277550,0
572,0,1493,123,2018-10-16,2018-10-17,0,0,0,65,290,166204,325539,0
449,0,1364,66,2018-10-17,2018-10-18,0,0,0,64,241,108477,215770,0
588,0,1764,87,2018-10-18,2018-10-19,6,0,0,64,305,179535,317337,0
568,0,2638,98,2018-10-19,2018-10-20,0,0,0,64,282,160683,307779,0
527,0,1335,135,2018-10-20,2018-10-21,0,0,0,71,315,166088,271655,0
611,5,1436,106,2018-10-21,2018-10-22,0,0,0,68,281,171852,319421,0
423,0,1119,84,2018-10-22,2018-10-23,0,0,0,62,272,115189,223989,0
666,0,1411,121,2018-10-23,2018-10-24,0,0,0,68,275,183271,348038,0
538,0,1544,103,2018-10-24,2018-10-25,0,0,0,59,255,137236,264546,0
479,0,1316,56,2018-10-25,2018-10-26,0,0,0,63,246,118109,226464,0
363,0,1148,64,2018-10-26,2018-10-27,0,0,0,60,262,95467,184131,0
406,1,1062,64,2018-10-27,2018-10-28,0,0,0,68,300,122059,234504,0
464,0,1276,79,2018-10-28,2018-10-29,0,0,0,65,273,127090,233049,0
357,0,1157,52,2018-10-29,2018-10-30,1,0,0,62,243,86888,185153,0
414,0,1193,54,2018-10-30,2018-10-31,0,0,0,53,284,117960,272518,0
429,0,1184,71,2018-10-31,2018-11-01,0,0,0,63,299,128370,232386,0
"
",,,,,,,,,,,,,
