"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
0,0,45,0,2012-02-01,2012-02-02,0,0,0,0,0,0,0,0
3,0,44,1,2012-02-02,2012-02-03,0,0,0,0,0,0,0,0
0,0,35,0,2012-02-03,2012-02-04,0,0,0,0,0,0,0,0
4,0,63,2,2012-02-04,2012-02-05,0,0,0,0,0,0,0,0
2,0,43,0,2012-02-05,2012-02-06,0,0,0,0,0,0,0,0
1,0,56,1,2012-02-06,2012-02-07,0,0,0,0,0,0,0,0
1,0,32,0,2012-02-07,2012-02-08,0,0,0,0,0,0,0,0
1,0,53,0,2012-02-08,2012-02-09,0,0,0,0,0,0,0,0
1,0,61,0,2012-02-09,2012-02-10,0,0,0,0,0,0,0,0
0,0,70,0,2012-02-10,2012-02-11,0,0,0,0,0,0,0,0
1,0,72,0,2012-02-11,2012-02-12,0,0,0,0,0,0,0,0
0,0,37,0,2012-02-12,2012-02-13,0,0,0,0,0,0,0,0
0,0,31,0,2012-02-13,2012-02-14,0,0,0,0,0,0,0,0
2,0,65,0,2012-02-14,2012-02-15,0,0,0,0,0,0,0,0
2,0,63,0,2012-02-15,2012-02-16,0,0,0,0,0,0,0,0
3,0,63,2,2012-02-16,2012-02-17,0,0,0,0,0,0,0,0
4,0,66,1,2012-02-17,2012-02-18,0,0,0,0,0,0,0,0
1,0,41,1,2012-02-18,2012-02-19,0,0,0,0,0,0,0,0
0,0,50,0,2012-02-19,2012-02-20,0,0,0,0,0,0,0,0
0,0,53,0,2012-02-20,2012-02-21,0,0,0,0,0,0,0,0
3,0,56,1,2012-02-21,2012-02-22,0,0,0,0,0,0,0,0
0,0,53,0,2012-02-22,2012-02-23,0,0,0,0,0,0,0,0
0,0,58,0,2012-02-23,2012-02-24,0,0,0,0,0,0,0,0
3,0,85,0,2012-02-24,2012-02-25,0,0,0,0,0,0,0,0
3,0,62,2,2012-02-25,2012-02-26,0,0,0,0,0,0,0,0
2,0,40,1,2012-02-26,2012-02-27,0,0,0,0,0,0,0,0
1,0,68,1,2012-02-27,2012-02-28,0,0,0,0,0,0,0,0
2,0,52,1,2012-02-28,2012-02-29,0,0,0,0,0,0,0,0
2,0,67,1,2012-02-29,2012-03-01,0,0,0,0,0,0,0,0
"
",,,,,,,,,,,,,
