"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3,0,89,1,2010-12-01,2010-12-02,0,0,0,0,0,0,0,0
1,0,91,0,2010-12-02,2010-12-03,0,0,0,0,0,0,0,0
1,0,85,0,2010-12-03,2010-12-04,0,0,0,0,0,0,0,0
1,0,71,0,2010-12-04,2010-12-05,0,0,0,0,0,0,0,0
0,0,63,0,2010-12-05,2010-12-06,0,0,0,0,0,0,0,0
4,0,66,2,2010-12-06,2010-12-07,0,0,0,0,0,0,0,0
6,0,68,2,2010-12-07,2010-12-08,0,0,0,0,0,0,0,0
0,0,51,0,2010-12-08,2010-12-09,0,0,0,0,0,0,0,0
9,0,148,4,2010-12-09,2010-12-10,0,0,0,0,0,0,0,0
3,0,92,2,2010-12-10,2010-12-11,0,0,0,0,0,0,0,0
0,0,60,0,2010-12-11,2010-12-12,0,0,0,0,0,0,0,0
6,0,67,2,2010-12-12,2010-12-13,0,0,0,0,0,0,0,0
2,0,88,1,2010-12-13,2010-12-14,0,0,0,0,0,0,0,0
1,0,110,0,2010-12-14,2010-12-15,0,0,0,0,0,0,0,0
2,0,96,1,2010-12-15,2010-12-16,0,0,0,0,0,0,0,0
0,0,76,0,2010-12-16,2010-12-17,0,0,0,0,0,0,0,0
2,0,97,0,2010-12-17,2010-12-18,0,0,0,0,0,0,0,0
0,0,53,0,2010-12-18,2010-12-19,0,0,0,0,0,0,0,0
1,0,78,0,2010-12-19,2010-12-20,0,0,0,0,0,0,0,0
1,0,64,0,2010-12-20,2010-12-21,0,0,0,0,0,0,0,0
3,0,46,0,2010-12-21,2010-12-22,0,0,0,0,0,0,0,0
3,0,74,0,2010-12-22,2010-12-23,0,0,0,0,0,0,0,0
0,0,70,0,2010-12-23,2010-12-24,0,0,0,0,0,0,0,0
0,0,45,0,2010-12-24,2010-12-25,0,0,0,0,0,0,0,0
4,0,49,3,2010-12-25,2010-12-26,0,0,0,0,0,0,0,0
1,0,45,0,2010-12-26,2010-12-27,0,0,0,0,0,0,0,0
0,0,77,1,2010-12-27,2010-12-28,0,0,0,0,0,0,0,0
0,0,63,0,2010-12-28,2010-12-29,0,0,0,0,0,0,0,0
2,0,50,1,2010-12-29,2010-12-30,0,0,0,0,0,0,0,0
2,0,62,1,2010-12-30,2010-12-31,0,0,0,0,0,0,0,0
1,0,37,1,2010-12-31,2011-01-01,0,0,0,0,0,0,0,0
"
",,,,,,,,,,,,,
