"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
0,0,28,0,2012-09-01,2012-09-02,0,0,0,0,0,0,0,0
0,0,16,0,2012-09-02,2012-09-03,0,0,0,0,0,0,0,0
2,0,65,1,2012-09-03,2012-09-04,0,0,0,0,0,0,0,0
1,3,89,0,2012-09-04,2012-09-05,0,0,0,0,0,0,0,0
3,0,83,2,2012-09-05,2012-09-06,0,0,0,0,0,0,0,0
2,0,52,1,2012-09-06,2012-09-07,0,0,0,0,0,0,0,0
1,0,65,0,2012-09-07,2012-09-08,0,0,0,0,0,0,0,0
4,0,46,2,2012-09-08,2012-09-09,0,0,0,0,0,0,0,0
1,0,32,0,2012-09-09,2012-09-10,0,0,0,0,0,0,0,0
2,0,74,1,2012-09-10,2012-09-11,0,0,0,0,0,0,0,0
2,0,53,1,2012-09-11,2012-09-12,0,0,0,0,0,0,0,0
7,0,103,0,2012-09-12,2012-09-13,0,0,0,0,0,0,0,0
1,0,73,1,2012-09-13,2012-09-14,0,0,0,0,0,0,0,0
2,0,54,1,2012-09-14,2012-09-15,0,0,0,0,0,0,0,0
1,0,30,1,2012-09-15,2012-09-16,0,0,0,0,0,0,0,0
1,0,34,1,2012-09-16,2012-09-17,0,0,0,0,0,0,0,0
1,0,43,0,2012-09-17,2012-09-18,0,0,0,0,0,0,0,0
0,0,34,0,2012-09-18,2012-09-19,0,0,0,0,0,0,0,0
6,0,51,0,2012-09-19,2012-09-20,0,0,0,0,0,0,0,0
1,0,51,0,2012-09-20,2012-09-21,0,0,0,0,0,0,0,0
2,0,45,1,2012-09-21,2012-09-22,0,0,0,0,0,0,0,0
1,0,24,1,2012-09-22,2012-09-23,0,0,0,0,0,0,0,0
0,0,41,0,2012-09-23,2012-09-24,0,0,0,0,0,0,0,0
5,0,41,1,2012-09-24,2012-09-25,0,0,0,0,0,0,0,0
1,0,27,1,2012-09-25,2012-09-26,0,0,0,0,0,0,0,0
0,0,61,0,2012-09-26,2012-09-27,0,0,0,0,0,0,0,0
0,0,46,0,2012-09-27,2012-09-28,0,0,0,0,0,0,0,0
0,0,40,0,2012-09-28,2012-09-29,0,0,0,0,0,0,0,0
2,0,25,1,2012-09-29,2012-09-30,0,0,0,0,0,0,0,0
0,0,37,0,2012-09-30,2012-10-01,0,0,0,0,0,0,0,0
"
",,,,,,,,,,,,,
