"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
283,0,384,25,2015-11-01,2015-11-02,0,0,0,80,141,39998,97378,0
204,0,289,8,2015-11-02,2015-11-03,2,0,0,72,152,31077,60037,0
280,0,375,18,2015-11-03,2015-11-04,1,0,0,72,154,43379,87266,0
233,0,297,29,2015-11-04,2015-11-05,0,0,0,73,168,39353,71744,0
207,0,301,32,2015-11-05,2015-11-06,0,0,0,72,196,40748,61831,0
183,0,294,21,2015-11-06,2015-11-07,0,0,0,72,189,34614,56836,0
127,0,214,11,2015-11-07,2015-11-08,0,0,0,69,159,20274,37795,0
134,0,219,15,2015-11-08,2015-11-09,0,0,0,81,202,27155,39813,0
1452,0,16805,97,2015-11-09,2015-11-10,1,0,0,62,142,207153,416815,0
961,0,10896,83,2015-11-10,2015-11-11,0,0,0,59,136,130981,278352,0
380,0,2476,28,2015-11-11,2015-11-12,0,1,0,67,153,58413,121735,0
214,0,1133,26,2015-11-12,2015-11-13,0,0,0,67,151,32385,67218,0
161,0,636,25,2015-11-13,2015-11-14,0,0,0,74,149,24046,46914,0
177,0,661,29,2015-11-14,2015-11-15,1,1,0,72,144,25529,47584,0
242,0,650,51,2015-11-15,2015-11-16,0,0,0,76,147,35675,65945,0
128,0,483,22,2015-11-16,2015-11-17,0,0,0,75,185,23793,40549,0
97,0,278,10,2015-11-17,2015-11-18,0,0,0,76,190,18459,30849,0
94,0,256,12,2015-11-18,2015-11-19,1,0,0,73,183,17286,28940,0
137,0,284,17,2015-11-19,2015-11-20,0,0,0,75,158,21696,41307,0
98,0,217,8,2015-11-20,2015-11-21,0,0,0,74,167,16446,29326,0
88,0,222,8,2015-11-21,2015-11-22,0,0,0,70,144,12742,26319,0
133,0,370,30,2015-11-22,2015-11-23,0,0,0,68,127,16910,33631,0
217,0,386,55,2015-11-23,2015-11-24,0,0,0,76,187,40596,58072,0
125,0,267,20,2015-11-24,2015-11-25,0,0,0,74,157,19680,34492,0
233,0,469,35,2015-11-25,2015-11-26,0,0,0,63,464,108242,203746,0
161,0,303,14,2015-11-26,2015-11-27,2,0,0,58,270,43512,89728,0
118,0,221,15,2015-11-27,2015-11-28,0,0,0,66,272,32140,53964,0
168,0,336,13,2015-11-28,2015-11-29,0,0,0,61,321,53977,108078,0
132,0,305,19,2015-11-29,2015-11-30,1,0,0,67,268,35449,54110,0
193,0,388,20,2015-11-30,2015-12-01,9,0,0,62,243,47068,87548,0
"
",,,,,,,,,,,,,
