"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
376,0,1300,40,2018-12-01,2018-12-02,1,0,0,72,324,121902,193536,0
427,0,1455,64,2018-12-02,2018-12-03,0,0,0,62,260,111321,236582,0
358,0,1430,62,2018-12-03,2018-12-04,0,0,0,66,281,100645,176997,0
406,0,1637,95,2018-12-04,2018-12-05,0,0,0,67,274,111296,209267,0
310,0,1272,55,2018-12-05,2018-12-06,1,0,0,63,262,81528,177216,0
370,0,1264,73,2018-12-06,2018-12-07,0,0,0,62,288,106743,201530,0
280,0,1093,39,2018-12-07,2018-12-08,0,0,0,58,262,73445,149588,0
339,0,1188,56,2018-12-08,2018-12-09,0,0,0,64,255,86533,195901,0
361,0,1045,75,2018-12-09,2018-12-10,0,0,0,68,267,96481,165753,0
284,0,1008,51,2018-12-10,2018-12-11,0,0,0,62,239,67954,140092,0
285,1,1062,53,2018-12-11,2018-12-12,0,0,0,63,239,68362,149277,0
241,0,1000,54,2018-12-12,2018-12-13,0,0,0,76,293,70615,109626,0
202,0,956,45,2018-12-13,2018-12-14,0,0,0,63,286,57893,107254,0
261,0,971,40,2018-12-14,2018-12-15,1,0,0,71,275,71800,124885,0
214,0,868,41,2018-12-15,2018-12-16,8,0,0,71,294,62959,107916,0
421,0,1064,68,2018-12-16,2018-12-17,0,0,0,55,212,89264,238066,0
287,0,943,62,2018-12-17,2018-12-18,5,0,0,63,234,67341,153399,0
203,1,992,24,2018-12-18,2018-12-19,1,0,0,50,177,36098,97531,0
248,0,1074,65,2018-12-19,2018-12-20,0,0,0,67,288,71640,121577,0
307,0,2690,49,2018-12-20,2018-12-21,0,0,0,60,242,74513,162178,0
326,0,2806,71,2018-12-21,2018-12-22,0,0,0,68,252,82192,151902,0
216,0,1855,28,2018-12-22,2018-12-23,3,0,0,68,265,57289,103138,0
351,0,1857,39,2018-12-23,2018-12-24,0,0,0,54,181,63597,159076,0
166,0,1164,21,2018-12-24,2018-12-25,0,0,0,55,209,34844,85564,0
289,0,1139,35,2018-12-25,2018-12-26,0,0,0,62,213,61785,139433,0
165,0,1153,23,2018-12-26,2018-12-27,0,0,0,60,206,33997,77543,0
329,0,1281,71,2018-12-27,2018-12-28,1,0,0,63,264,86963,178880,0
254,0,1094,27,2018-12-28,2018-12-29,2,0,0,54,188,47811,138135,0
349,0,1160,33,2018-12-29,2018-12-30,0,0,0,53,202,70594,195605,0
215,0,1058,37,2018-12-30,2018-12-31,0,0,0,67,233,50294,93518,0
227,0,1022,30,2018-12-31,2019-01-01,0,0,0,58,167,38115,97146,0
"
",,,,,,,,,,,,,
