"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
83,0,283,0,US,"United States",39.7837304,-100.4458825,0,0,0,0,0,0
2,0,2,0,EU,Europe,0,0,0,0,0,0,0,0
2,0,2,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
2,0,3,0,MX,Mexico,22.5000485,-100.0000375,0,0,0,0,0,0
1,0,1,0,ZZ,Unknown,0,0,0,0,0,0,0,0
1,0,4,0,NZ,"New Zealand",-41.5000831,172.8344077,0,0,0,0,0,0
1,0,1,0,IN,India,22.3511148,78.6677428,0,0,0,0,0,0
1,0,1,0,KR,"Republic of Korea",35.3985008,127.937111,0,0,0,0,0,0
0,0,2,0,OM,Oman,21.0000287,57.0036901,0,0,0,0,0,0
0,0,0,41,XX,Unknown,0,0,0,0,0,0,0,0
0,0,2,0,CO,Colombia,2.8930783,-73.7845072,0,0,0,0,0,0
0,0,2,0,AU,Australia,-24.7761086,134.755,0,0,0,0,0,0
"
",,,,,,,,,,,,,
