"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
5,0,131,2,US,"United States",39.7837304,-100.4458825,0,88,526,2633,2986,0
1,0,4,0,IL,Israel,30.8760272,35.0015196,0,69,163,163,235,0
1,0,3,0,TR,Turkey,38.9597594,34.9249653,0,0,1,1,376,0
0,0,1,0,BR,Brazil,-10.3333333,-53.2,0,0,0,0,0,0
0,0,1,0,RU,Russia,64.6863136,97.7453061,0,0,0,0,0,0
0,0,1,0,MX,Mexico,22.5000485,-100.0000375,0,0,0,0,0,0
0,0,2,0,KR,"Republic of Korea",35.3985008,127.937111,0,0,0,0,0,0
0,0,1,0,KE,Kenya,1.4419683,38.4313975,0,0,0,0,0,0
0,0,2,0,IN,India,22.3511148,78.6677428,0,0,0,0,0,0
0,0,1,0,ES,Spain,40.0028028,-4.003104,0,0,0,0,0,0
0,0,1,0,ID,Indonesia,-4.7993356,114.5632032,0,0,0,0,0,0
0,0,21,0,GB,"United Kingdom",54.7023545,-3.2765753,0,0,0,0,0,0
0,0,1,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
0,0,5,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
0,0,4,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
"
",,,,,,,,,,,,,
