"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
31,0,1040,0,US,"United States",39.7837304,-100.4458825,0,0,0,0,0,0
6,0,31,0,GB,"United Kingdom",54.7023545,-3.2765753,0,0,0,0,0,0
3,0,4,0,PL,Poland,52.0977181,19.0258159,0,0,0,0,0,0
3,0,52,0,IT,Italy,42.6384261,12.674297,0,0,0,0,0,0
2,0,2,0,AP,"Asia/Pacific Region",0,0,0,0,0,0,0,0
2,0,26,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
1,0,12,0,AU,Australia,-24.7761086,134.755,0,0,0,0,0,0
1,0,3,0,SE,Sweden,59.6749712,14.5208584,0,0,0,0,0,0
1,0,3,0,GR,Greece,39.000041,21.9999569,0,0,0,0,0,0
0,0,3,12,XX,Unknown,0,0,0,0,0,0,0,0
0,0,1,0,SK,Slovakia,48.7411522,19.4528646,0,0,0,0,0,0
0,0,9,0,RU,Russia,64.6863136,97.7453061,0,0,0,0,0,0
0,0,3,0,RO,Romania,45.9852129,24.6859225,0,0,0,0,0,0
0,0,3,0,HU,Hungary,47.1817585,19.5060937,0,0,0,0,0,0
0,0,1,0,PK,Pakistan,30.3308401,71.247499,0,0,0,0,0,0
0,0,5,0,PH,Philippines,12.7503486,122.7312101,0,0,0,0,0,0
0,0,2,0,PE,Peru,-6.8699697,-75.0458515,0,0,0,0,0,0
0,0,9,0,NZ,"New Zealand",-41.5000831,172.8344077,0,0,0,0,0,0
0,0,2,0,IE,Ireland,52.865196,-7.9794599,0,0,0,0,0,0
0,0,1,0,NO,Norway,60.5000209,9.0999715,0,0,0,0,0,0
0,0,7,0,NL,Netherlands,52.5001698,5.7480821,0,0,0,0,0,0
0,0,4,0,MY,Malaysia,4.5693754,102.2656823,0,0,0,0,0,0
0,0,1,0,BE,Belgium,50.6407351,4.66696,0,0,0,0,0,0
0,0,2,0,KG,Kyrgyzstan,41.5089324,74.724091,0,0,0,0,0,0
0,0,12,0,JP,Japan,36.5748441,139.2394179,0,0,0,0,0,0
0,0,2,0,JO,"Hashemite Kingdom of Jordan",31.1667049,36.941628,0,0,0,0,0,0
0,0,2,0,VN,Vietnam,13.2904027,108.4265113,0,0,0,0,0,0
0,0,1,0,IN,India,22.3511148,78.6677428,0,0,0,0,0,0
0,0,1,0,SY,Syria,34.6401861,39.0494106,0,0,0,0,0,0
0,0,1,0,ID,Indonesia,-4.7993356,114.5632032,0,0,0,0,0,0
0,0,1,0,HK,"Hong Kong",0,0,0,0,0,0,0,0
0,0,1,0,NP,Nepal,28.1083178,84.0916787,0,0,0,0,0,0
0,0,6,0,BR,Brazil,-10.3333333,-53.2,0,0,0,0,0,0
0,0,18,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
0,0,5,0,ES,Spain,40.0028028,-4.003104,0,0,0,0,0,0
0,0,5,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
0,0,6,0,CO,Colombia,2.8930783,-73.7845072,0,0,0,0,0,0
0,0,92,0,CN,China,35.000074,104.999927,0,0,0,0,0,0
0,0,5,0,TR,Turkey,38.9597594,34.9249653,0,0,0,0,0,0
0,0,2,0,LT,"Republic of Lithuania",55.3500003,23.7499998,0,0,0,0,0,0
0,0,2,0,ZA,"South Africa",-28.8166236,24.991639,0,0,0,0,0,0
0,0,4,0,A2,"Satellite Provider",0,0,0,0,0,0,0,0
0,0,24,0,AE,"United Arab Emirates",24.0002488,53.9994829,0,0,0,0,0,0
"
",,,,,,,,,,,,,
