"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
45,0,1466,0,US,"United States",39.7837304,-100.4458825,0,0,0,0,0,0
6,0,38,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
2,0,51,0,GB,"United Kingdom",54.7023545,-3.2765753,0,0,0,0,0,0
1,0,2,0,PE,Peru,-6.8699697,-75.0458515,0,0,0,0,0,0
1,0,5,0,BR,Brazil,-10.3333333,-53.2,0,0,0,0,0,0
0,0,22,0,ES,Spain,40.0028028,-4.003104,0,0,0,0,0,0
0,0,1,0,TW,Taiwan,23.9739374,120.9820179,0,0,0,0,0,0
0,0,2,0,TN,Tunisia,33.8439408,9.400138,0,0,0,0,0,0
0,0,2,0,SE,Sweden,59.6749712,14.5208584,0,0,0,0,0,0
0,0,1,0,RW,Rwanda,-1.9646631,30.0644358,0,0,0,0,0,0
0,0,13,0,RU,Russia,64.6863136,97.7453061,0,0,0,0,0,0
0,0,1,0,RS,Serbia,44.1534121,20.55144,0,0,0,0,0,0
0,0,3,0,RO,Romania,45.9852129,24.6859225,0,0,0,0,0,0
0,0,3,0,PT,Portugal,40.033265,-7.8896263,0,0,0,0,0,0
0,0,4,0,PL,Poland,52.0977181,19.0258159,0,0,0,0,0,0
0,0,2,0,PH,Philippines,12.7503486,122.7312101,0,0,0,0,0,0
0,0,45,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
0,0,3,0,NZ,"New Zealand",-41.5000831,172.8344077,0,0,0,0,0,0
0,0,2,0,NO,Norway,60.5000209,9.0999715,0,0,0,0,0,0
0,0,8,0,NL,Netherlands,52.5001698,5.7480821,0,0,0,0,0,0
0,0,1,0,LV,Latvia,56.8666904,24.5999717,0,0,0,0,0,0
0,0,1,0,LT,"Republic of Lithuania",55.3500003,23.7499998,0,0,0,0,0,0
0,0,4,0,LK,"Sri Lanka",7.878,80.7038245875,0,0,0,0,0,0
0,0,27,0,JP,Japan,36.5748441,139.2394179,0,0,0,0,0,0
0,0,2,0,IT,Italy,42.6384261,12.674297,0,0,0,0,0,0
0,0,8,0,IN,India,22.3511148,78.6677428,0,0,0,0,0,0
0,0,8,0,IE,Ireland,52.865196,-7.9794599,0,0,0,0,0,0
0,0,4,0,ID,Indonesia,-4.7993356,114.5632032,0,0,0,0,0,0
0,5,4,17,XX,Unknown,0,0,0,0,0,0,0,0
0,0,2,0,HR,Croatia,45.5643442,17.0118954,0,0,0,0,0,0
0,0,1,0,GT,Guatemala,15.6356088,-89.8988087,0,0,0,0,0,0
0,0,3,0,TR,Turkey,38.9597594,34.9249653,0,0,0,0,0,0
0,0,4,0,GE,Georgia,41.6809707,44.0287382,0,0,0,0,0,0
0,0,1,0,AE,"United Arab Emirates",24.0002488,53.9994829,0,0,0,0,0,0
0,0,2,0,HU,Hungary,47.1817585,19.5060937,0,0,0,0,0,0
0,0,2,0,DK,Denmark,55.670249,10.3333283,0,0,0,0,0,0
0,0,24,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
0,0,9,0,CZ,"Czech Republic",49.8167003,15.4749544,0,0,0,0,0,0
0,0,24,0,CN,China,35.000074,104.999927,0,0,0,0,0,0
0,0,2,0,CH,Switzerland,46.7985624,8.2319736,0,0,0,0,0,0
0,0,4,0,AT,Austria,47.2000338,13.199959,0,0,0,0,0,0
0,0,3,0,AR,Argentina,-35.0039032,-65.2699754,0,0,0,0,0,0
0,0,1,0,BG,Bulgaria,42.6073975,25.4856617,0,0,0,0,0,0
0,0,4,0,BE,Belgium,50.6407351,4.66696,0,0,0,0,0,0
0,0,4,0,AU,Australia,-24.7761086,134.755,0,0,0,0,0,0
0,0,5,0,GR,Greece,39.000041,21.9999569,0,0,0,0,0,0
0,0,1,0,AP,"Asia/Pacific Region",0,0,0,0,0,0,0,0
0,0,2,0,AO,Angola,-11.8775768,17.5691241,0,0,0,0,0,0
"
",,,,,,,,,,,,,
